,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.323076923076923,86.46153846153847,86.15384615384616
std,0.7067271944465583,14.134543888931185,34.671987115231516
min,2.0,40.0,0.0
25%,4.0,80.0,100.0
50%,4.0,80.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
