,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.392307692307693,87.84615384615384,89.23076923076923
std,0.6876107814469427,13.752215628938853,31.11906080106096
min,2.0,40.0,0.0
25%,4.0,80.0,100.0
50%,4.5,90.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
