,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,0.007692307692307693,0.15384615384615385,0.0
std,0.08770580193070292,1.7541160386140584,0.0
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,0.0,0.0,0.0
max,1.0,20.0,0.0
