,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.8,96.0,92.3076923076923
std,0.42040954561773625,8.408190912354728,26.750018808613547
min,3.0,60.0,0.0
25%,5.0,100.0,100.0
50%,5.0,100.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
