,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.753846153846154,95.07692307692308,94.61538461538461
std,0.43243565567945735,8.648713113589135,22.65870286981139
min,4.0,80.0,0.0
25%,5.0,100.0,100.0
50%,5.0,100.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
