,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.584615384615384,91.6923076923077,0.8769230769230769
std,0.581159164906893,11.62318329813786,0.32979638104700215
min,2.0,40.0,0.0
25%,4.0,80.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
