,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.507692307692308,90.15384615384616,0.8153846153846154
std,0.6499392201297367,12.998784402594735,0.3894861529340553
min,2.0,40.0,0.0
25%,4.0,80.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
