,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,3.3461538461538463,66.92307692307692,60.76923076923077
std,1.2495676055956655,24.99135211191331,49.015349353767874
min,0.0,0.0,0.0
25%,2.25,45.0,0.0
50%,4.0,80.0,100.0
75%,4.0,80.0,100.0
max,5.0,100.0,100.0
