,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.746153846153846,94.92307692307692,0.9230769230769231
std,0.4542911415206795,9.085822830413605,0.2675001880861361
min,3.0,60.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
