,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.623076923076923,92.46153846153847,0.9538461538461539
std,0.5605283307209783,11.210566614419578,0.21062985872898776
min,3.0,60.0,0.0
25%,4.0,80.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
