,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.8,96.0,0.9230769230769231
std,0.4204095456177364,8.408190912354728,0.2675001880861359
min,3.0,60.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
