,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.584615384615384,91.6923076923077,0.9307692307692308
std,0.5538395282185019,11.07679056437004,0.25482815423967997
min,3.0,60.0,0.0
25%,4.0,80.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
