,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.7384615384615385,94.76923076923077,0.9230769230769231
std,0.5645035708079968,11.290071416159947,0.267500188086136
min,1.0,20.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
