,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.753846153846154,95.07692307692308,0.9461538461538461
std,0.43243565567945735,8.648713113589135,0.22658702869811354
min,4.0,80.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
