,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.8,96.0,95.38461538461539
std,0.40154739455949573,8.030947891189916,21.06298587289871
min,4.0,80.0,0.0
25%,5.0,100.0,100.0
50%,5.0,100.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
