,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.861538461538461,97.23076923076923,98.46153846153847
std,0.34671987115231534,6.934397423046307,12.355304447984462
min,4.0,80.0,0.0
25%,5.0,100.0,100.0
50%,5.0,100.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
