,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.884615384615385,97.6923076923077,97.6923076923077
std,0.3207214586288934,6.414429172577859,15.072870106184991
min,4.0,80.0,0.0
25%,5.0,100.0,100.0
50%,5.0,100.0,100.0
75%,5.0,100.0,100.0
max,5.0,100.0,100.0
