,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.869230769230769,97.38461538461539,0.9769230769230769
std,0.33845205169119236,6.7690410338238385,0.15072870106185002
min,4.0,80.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
