,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.876923076923077,97.53846153846153,0.9615384615384616
std,0.32979638104700176,6.595927620940046,0.19305163199975764
min,4.0,80.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
