,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.9,98.0,0.9846153846153847
std,0.3011605459196218,6.0232109183924365,0.12355304447984485
min,4.0,80.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
