,similar classes (count),similar classes (%),similar best class
count,130.0,130.0,130.0
mean,4.884615384615385,97.6923076923077,0.9615384615384616
std,0.32072145862889356,6.414429172577855,0.19305163199975772
min,4.0,80.0,0.0
25%,5.0,100.0,1.0
50%,5.0,100.0,1.0
75%,5.0,100.0,1.0
max,5.0,100.0,1.0
